,r,d,t,x,y,z
0,1.0,1.0,70,0.3420201433256688,0,0.9396926207859083
1,1.0,1.0,75,0.25881904510252074,0,0.9659258262890683
2,1.0,1.0,80,0.17364817766693041,0,0.984807753012208
3,1.0,1.0,85,0.08715574274765812,0,0.9961946980917455
4,1.0,1.0,90,6.123233995736766e-17,0,1.0
5,1.0,1.0,95,-0.08715574274765824,0,0.9961946980917455
6,1.0,1.0,100,-0.1736481776669303,0,0.984807753012208
7,1.0,1.0,105,-0.25881904510252085,0,0.9659258262890683
8,1.0,1.0,110,-0.3420201433256687,0,0.9396926207859084
9,1.0,1.0,115,-0.42261826174069933,0,0.90630778703665
10,1.0,1.0,120,-0.4999999999999998,0,0.8660254037844388
11,1.0,1.2,70,0.41042417199080256,0,1.12763114494309
12,1.0,1.2,75,0.3105828541230249,0,1.159110991546882
13,1.0,1.2,80,0.20837781320031648,0,1.1817693036146495
14,1.0,1.2,85,0.10458689129718975,0,1.1954336377100947
15,1.0,1.2,90,7.347880794884119e-17,0,1.2
16,1.0,1.2,95,-0.10458689129718989,0,1.1954336377100947
17,1.0,1.2,100,-0.20837781320031637,0,1.1817693036146495
18,1.0,1.2,105,-0.310582854123025,0,1.159110991546882
19,1.0,1.2,110,-0.41042417199080244,0,1.12763114494309
20,1.0,1.2,115,-0.5071419140888391,0,1.08756934444398
21,1.0,1.2,120,-0.5999999999999998,0,1.0392304845413265
22,1.0,1.4,70,0.47882820065593634,0,1.3155696691002716
23,1.0,1.4,75,0.36234666314352904,0,1.3522961568046956
24,1.0,1.4,80,0.24310744873370257,0,1.378730854217091
25,1.0,1.4,85,0.12201803984672137,0,1.3946725773284436
26,1.0,1.4,90,8.572527594031472e-17,0,1.4
27,1.0,1.4,95,-0.12201803984672152,0,1.3946725773284436
28,1.0,1.4,100,-0.2431074487337024,0,1.378730854217091
29,1.0,1.4,105,-0.36234666314352915,0,1.3522961568046956
30,1.0,1.4,110,-0.4788282006559362,0,1.3155696691002716
31,1.0,1.4,115,-0.591665566436979,0,1.26883090185131
32,1.0,1.4,120,-0.6999999999999996,0,1.2124355652982142
33,1.0,1.5999999999999999,70,0.5472322293210701,0,1.5035081932574532
34,1.0,1.5999999999999999,75,0.4141104721640331,0,1.5454813220625092
35,1.0,1.5999999999999999,80,0.27783708426708864,0,1.5756924048195327
36,1.0,1.5999999999999999,85,0.13944918839625298,0,1.5939115169467928
37,1.0,1.5999999999999999,90,9.797174393178825e-17,0,1.5999999999999999
38,1.0,1.5999999999999999,95,-0.13944918839625317,0,1.5939115169467928
39,1.0,1.5999999999999999,100,-0.2778370842670885,0,1.5756924048195327
40,1.0,1.5999999999999999,105,-0.41411047216403335,0,1.5454813220625092
41,1.0,1.5999999999999999,110,-0.5472322293210699,0,1.5035081932574534
42,1.0,1.5999999999999999,115,-0.6761892187851188,0,1.45009245925864
43,1.0,1.5999999999999999,120,-0.7999999999999996,0,1.385640646055102
44,1.0,1.7999999999999998,70,0.6156362579862038,0,1.6914467174146348
45,1.0,1.7999999999999998,75,0.4658742811845373,0,1.7386664873203228
46,1.0,1.7999999999999998,80,0.31256671980047473,0,1.7726539554219742
47,1.0,1.7999999999999998,85,0.1568803369457846,0,1.7931504565651417
48,1.0,1.7999999999999998,90,1.1021821192326178e-16,0,1.7999999999999998
49,1.0,1.7999999999999998,95,-0.15688033694578482,0,1.7931504565651417
50,1.0,1.7999999999999998,100,-0.3125667198004745,0,1.7726539554219742
51,1.0,1.7999999999999998,105,-0.4658742811845375,0,1.7386664873203228
