R,d,θ,x,y,z
1.0,1.0,70,0.34202,0,0.93969
1.0,1.0,75,0.25882,0,0.96593
1.0,1.0,80,0.17365,0,0.98481
1.0,1.0,85,0.08716,0,0.99619
1.0,1.0,90,0.0,0,1.0
1.0,1.0,95,-0.08716,0,0.99619
1.0,1.0,100,-0.17365,0,0.98481
1.0,1.0,105,-0.25882,0,0.96593
1.0,1.0,110,-0.34202,0,0.93969
1.0,1.0,115,-0.42262,0,0.90631
1.0,1.0,120,-0.5,0,0.86603
1.0,1.2,70,0.41042,0,1.12763
1.0,1.2,75,0.31058,0,1.15911
1.0,1.2,80,0.20838,0,1.18177
1.0,1.2,85,0.10459,0,1.19543
1.0,1.2,90,0.0,0,1.2
1.0,1.2,95,-0.10459,0,1.19543
1.0,1.2,100,-0.20838,0,1.18177
1.0,1.2,105,-0.31058,0,1.15911
1.0,1.2,110,-0.41042,0,1.12763
1.0,1.2,115,-0.50714,0,1.08757
1.0,1.2,120,-0.6,0,1.03923
1.0,1.4,70,0.47883,0,1.31557
1.0,1.4,75,0.36235,0,1.3523
1.0,1.4,80,0.24311,0,1.37873
1.0,1.4,85,0.12202,0,1.39467
1.0,1.4,90,0.0,0,1.4
1.0,1.4,95,-0.12202,0,1.39467
1.0,1.4,100,-0.24311,0,1.37873
1.0,1.4,105,-0.36235,0,1.3523
1.0,1.4,110,-0.47883,0,1.31557
1.0,1.4,115,-0.59167,0,1.26883
1.0,1.4,120,-0.7,0,1.21244
1.0,1.6,70,0.54723,0,1.50351
1.0,1.6,75,0.41411,0,1.54548
1.0,1.6,80,0.27784,0,1.57569
1.0,1.6,85,0.13945,0,1.59391
1.0,1.6,90,0.0,0,1.6
1.0,1.6,95,-0.13945,0,1.59391
1.0,1.6,100,-0.27784,0,1.57569
1.0,1.6,105,-0.41411,0,1.54548
1.0,1.6,110,-0.54723,0,1.50351
1.0,1.6,115,-0.67619,0,1.45009
1.0,1.6,120,-0.8,0,1.38564
1.0,1.8,70,0.61564,0,1.69145
1.0,1.8,75,0.46587,0,1.73867
1.0,1.8,80,0.31257,0,1.77265
1.0,1.8,85,0.15688,0,1.79315
1.0,1.8,90,0.0,0,1.8
1.0,1.8,95,-0.15688,0,1.79315
1.0,1.8,100,-0.31257,0,1.77265
1.0,1.8,105,-0.46587,0,1.73867
1.0,1.8,110,-0.61564,0,1.69145
1.0,1.8,115,-0.76071,0,1.63135
1.0,1.8,120,-0.9,0,1.55885
1.0,2.0,70,0.68404,0,1.87939
1.0,2.0,75,0.51764,0,1.93185
1.0,2.0,80,0.3473,0,1.96962
1.0,2.0,85,0.17431,0,1.99239
1.0,2.0,90,0.0,0,2.0
1.0,2.0,95,-0.17431,0,1.99239
1.0,2.0,100,-0.3473,0,1.96962
1.0,2.0,105,-0.51764,0,1.93185
1.0,2.0,110,-0.68404,0,1.87939
1.0,2.0,115,-0.84524,0,1.81262
